epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.185,0.92346,1.02571,1.13589,0.92479,0.83003,0.89934,0.63911,1.12068,0.93718,1.33972,0.00066581,0.00066581,0.00066581
2,470.919,0.90522,0.57018,1.132,0.93706,0.86028,0.89041,0.6357,1.06341,0.75836,1.29232,0.00120056,0.00120056,0.00120056
3,686.568,0.85591,0.51185,1.1024,0.93955,0.85402,0.88456,0.63382,1.05603,0.67355,1.40828,0.00160331,0.00160331,0.00160331
4,901.976,0.82623,0.47121,1.079,0.93515,0.86656,0.92987,0.67815,1.01207,0.59618,1.20264,0.001406,0.001406,0.001406
5,1116.78,0.78287,0.42681,1.04422,0.97663,0.88854,0.95748,0.72856,0.9038,0.52596,1.11704,0.001208,0.001208,0.001208
6,1331.62,0.76224,0.40528,1.03012,0.97502,0.9193,0.95174,0.7285,0.90087,0.48231,1.13444,0.00101,0.00101,0.00101
7,1553.83,0.73618,0.36975,1.01457,0.97863,0.90895,0.95732,0.74547,0.86475,0.45728,1.09155,0.000812,0.000812,0.000812
8,1776.56,0.70829,0.34623,0.99685,0.97698,0.92151,0.96072,0.7582,0.8556,0.46323,1.07542,0.000614,0.000614,0.000614
9,1992.41,0.68626,0.32581,0.98531,0.9797,0.90912,0.95512,0.77039,0.836,0.43712,1.05171,0.000416,0.000416,0.000416
10,2208.11,0.65998,0.29885,0.96933,0.96773,0.9325,0.96451,0.77821,0.81666,0.41583,1.03626,0.000218,0.000218,0.000218
