epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2709,1.192,1.80082,1.49431,0.65422,0.56923,0.58213,0.31908,2.10563,2.30126,2.62821,0.000660194,0.000660194,0.000660194
2,83.6787,1.30483,1.16884,1.57463,0.27613,0.56342,0.21578,0.11119,1.77895,7.69321,2.42904,0.00126118,0.00126118,0.00126118
3,123.026,1.30386,1.12232,1.53128,0.66341,0.63077,0.69337,0.42378,1.21268,1.3913,1.76871,0.00179617,0.00179617,0.00179617
4,161.9,1.32397,1.06687,1.55269,0.8128,0.67692,0.76851,0.47081,1.27342,1.46524,1.66635,0.001703,0.001703,0.001703
5,200.693,1.20507,0.96654,1.47948,0.91763,0.85697,0.94862,0.64753,0.96488,0.84906,1.53046,0.001604,0.001604,0.001604
6,239.43,1.15846,0.89624,1.44535,0.93896,0.92308,0.96432,0.59882,1.165,0.84784,1.71163,0.001505,0.001505,0.001505
7,279.976,1.14585,0.85254,1.43986,0.92138,0.90149,0.94549,0.65373,1.04513,0.69615,1.58978,0.001406,0.001406,0.001406
8,319.625,1.10587,0.81282,1.40564,0.92306,0.93846,0.95452,0.70822,0.89274,0.8279,1.42423,0.001307,0.001307,0.001307
9,358.271,1.10487,0.76888,1.38852,0.97647,0.90769,0.94869,0.66607,1.05103,0.62591,1.6212,0.001208,0.001208,0.001208
10,397.202,1.06928,0.77572,1.36455,0.99635,0.93846,0.95929,0.66881,0.93941,0.6432,1.41226,0.001109,0.001109,0.001109
11,454.392,1.04822,0.66189,1.42161,0.984,0.94616,0.96258,0.73535,0.83462,0.54532,1.36085,0.00101,0.00101,0.00101
12,495.74,0.98709,0.60239,1.39095,0.96125,0.93846,0.95957,0.70431,0.81945,0.62022,1.27578,0.000911,0.000911,0.000911
13,535.494,0.95164,0.5826,1.35736,0.97543,0.92308,0.96209,0.7628,0.74583,0.56344,1.24032,0.000812,0.000812,0.000812
14,574.001,0.89113,0.54195,1.28612,0.99273,0.96923,0.98301,0.77471,0.72602,0.46766,1.22839,0.000713,0.000713,0.000713
15,612.509,0.90618,0.53842,1.30469,0.96205,0.93846,0.96101,0.75979,0.78122,0.52947,1.24119,0.000614,0.000614,0.000614
16,650.995,0.85202,0.50794,1.26315,0.96668,0.96923,0.98103,0.77206,0.7694,0.459,1.24497,0.000515,0.000515,0.000515
17,689.597,0.81408,0.4726,1.2381,0.9544,0.96596,0.96463,0.74995,0.74052,0.43646,1.24008,0.000416,0.000416,0.000416
18,728.097,0.78396,0.44546,1.20604,0.9795,0.95385,0.98153,0.77193,0.72442,0.39358,1.21552,0.000317,0.000317,0.000317
19,766.618,0.75097,0.42575,1.19634,1,0.9842,0.98557,0.79827,0.74858,0.39914,1.21894,0.000218,0.000218,0.000218
20,805.264,0.72746,0.416,1.16575,0.99711,0.98462,0.98559,0.8036,0.71664,0.40172,1.21471,0.000119,0.000119,0.000119
