epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.846,0.90079,2.06246,1.03322,0.86613,0.39166,0.44411,0.37452,0.60882,0.52577,0.86965,2.59752e-05,2.59752e-05,2.59752e-05
2,672.242,0.60813,0.57482,0.87807,0.85102,0.57749,0.62172,0.53585,0.53032,0.37375,0.84978,4.68297e-05,4.68297e-05,4.68297e-05
3,984.873,0.55168,0.43817,0.86304,0.7673,0.64897,0.67892,0.59108,0.48182,0.32546,0.83753,6.25361e-05,6.25361e-05,6.25361e-05
4,1294.97,0.51533,0.3767,0.85484,0.91237,0.6557,0.74881,0.66086,0.44308,0.28572,0.83111,5.4834e-05,5.4834e-05,5.4834e-05
5,1604.79,0.49068,0.33572,0.84566,0.89694,0.73248,0.78898,0.69879,0.43169,0.26568,0.82216,4.7112e-05,4.7112e-05,4.7112e-05
6,1914.09,0.47434,0.31151,0.84405,0.86107,0.76809,0.80828,0.71073,0.42762,0.25025,0.82468,3.939e-05,3.939e-05,3.939e-05
7,2226.93,0.46379,0.29474,0.84098,0.9333,0.7434,0.8414,0.74351,0.42229,0.2452,0.81815,3.1668e-05,3.1668e-05,3.1668e-05
8,2543.73,0.45716,0.28198,0.8389,0.87603,0.82429,0.85855,0.76116,0.40851,0.23245,0.81639,2.3946e-05,2.3946e-05,2.3946e-05
9,2854.3,0.44929,0.27138,0.83661,0.935,0.7839,0.86971,0.77058,0.40804,0.22971,0.81565,1.6224e-05,1.6224e-05,1.6224e-05
10,3169.46,0.44304,0.26462,0.83459,0.94877,0.79032,0.87909,0.77752,0.40262,0.22328,0.81536,8.502e-06,8.502e-06,8.502e-06
