epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,162.264,0.79459,1.44738,0.99055,0.83996,0.56261,0.60391,0.51753,0.53493,0.38306,0.87075,0.00998095,0.00332698,0.00998095,0.00332698,0.00998095,0.00332698,0.00998095,0.00332698
2,324.537,0.64803,0.57318,0.91012,0.87901,0.64791,0.73473,0.62941,0.51479,0.33807,0.87025,0.0197831,0.00659438,0.0197831,0.00659438,0.0197831,0.00659438,0.0197831,0.00659438
3,475.415,0.64182,0.53091,0.91911,0.87532,0.66546,0.7623,0.64644,0.50584,0.34174,0.87881,0.0293873,0.00979578,0.0293873,0.00979578,0.0293873,0.00979578,0.0293873,0.00979578
4,616.854,0.61477,0.49016,0.91539,0.80549,0.75626,0.84258,0.71145,0.4994,0.32688,0.87353,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,758.611,0.57292,0.44728,0.90379,0.81249,0.82177,0.8778,0.74685,0.45968,0.28471,0.86401,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,897.762,0.55611,0.41945,0.89737,0.82693,0.79474,0.88156,0.76174,0.44916,0.2722,0.85683,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1037.87,0.53963,0.39905,0.89294,0.79741,0.89058,0.90235,0.77603,0.44261,0.26222,0.85895,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1177.03,0.52865,0.38231,0.88774,0.89875,0.8491,0.93572,0.81509,0.42488,0.24791,0.85134,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1315.69,0.51935,0.37181,0.88616,0.84936,0.83703,0.92163,0.80222,0.41973,0.24309,0.84867,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1454.89,0.51131,0.36225,0.88328,0.86515,0.89932,0.93989,0.82191,0.40687,0.23384,0.84463,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1594.98,0.50547,0.35199,0.88139,0.85367,0.90355,0.96168,0.83978,0.40616,0.22864,0.84568,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1734.65,0.50053,0.34798,0.88024,0.8723,0.893,0.95138,0.83104,0.40518,0.22631,0.84274,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1877.13,0.49552,0.3401,0.87814,0.93472,0.8598,0.97183,0.85458,0.40358,0.22389,0.84319,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2017.2,0.49054,0.33188,0.87717,0.85671,0.91978,0.96799,0.84466,0.39455,0.21948,0.84078,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2156.43,0.48935,0.3327,0.87795,0.9534,0.8642,0.96374,0.84907,0.39367,0.21815,0.8411,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2295.8,0.48184,0.32483,0.87494,0.91287,0.89816,0.96937,0.85995,0.3888,0.21,0.83787,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2434.84,0.4777,0.31953,0.8738,0.91334,0.87454,0.96315,0.84977,0.38675,0.21152,0.8381,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2631.62,0.47575,0.31747,0.8735,0.95302,0.86299,0.96948,0.85733,0.3844,0.20638,0.83627,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2770.83,0.47239,0.31499,0.87277,0.90049,0.91389,0.97933,0.86352,0.38579,0.20601,0.83653,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2912.24,0.46738,0.31087,0.87117,0.9635,0.87303,0.97057,0.85548,0.37879,0.20341,0.83541,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3050.65,0.46535,0.30805,0.86954,0.87042,0.93667,0.97797,0.85824,0.37895,0.2012,0.83629,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3191.03,0.4623,0.30712,0.86847,0.95641,0.87922,0.98095,0.8613,0.37726,0.20082,0.83569,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3329.54,0.46042,0.30158,0.86749,0.85011,0.94619,0.98622,0.86848,0.36911,0.19547,0.83401,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3468.65,0.45584,0.29789,0.86603,0.88358,0.94226,0.98464,0.86942,0.36925,0.19696,0.83328,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3610.12,0.45616,0.29687,0.86709,0.94957,0.88398,0.98178,0.86857,0.36448,0.19364,0.83242,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3753.08,0.45422,0.29563,0.86723,0.92743,0.91058,0.97489,0.85664,0.36773,0.19132,0.83313,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3915.51,0.45317,0.29178,0.86668,0.92629,0.91732,0.97369,0.85962,0.3649,0.19022,0.8325,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
